Movie Rank,Movie Name,Year of Release,IMDB Rating,Runtime,Genre,Rated
22,Hotel Artemis,2018,6.1,94,"
Action, Crime, Drama            ",R
23,Point Break,2015,5.3,114,"
Action, Adventure, Crime            ",PG-13
24,The Getaway,1972,7.3,123,"
Action, Crime, Thriller            ",PG
25,The Thomas Crown Affair,1968,6.9,102,"
Crime, Drama, Romance            ",Approved
26,10 Minutes Gone,2019,3.6,89,"
Action, Crime, Mystery            ",R
27,The Driver,1978,7.1,91,"
Action, Crime, Thriller            ",R
28,Live by Night,2016,6.4,129,"
Action, Thriller            ",R
29,Don't Say a Word,2001,6.3,113,"
Drama, Mystery, Thriller            ",R
30,Taxi,I) (1998,7,86,"
Action, Comedy, Crime            ",Not Rated
31,Marauders,2016,5.5,107,"
Action, Crime, Thriller            ",R
32,Destroyer,2018,6.2,121,"
Action, Crime, Drama            ",R
33,A Day to Die,2022,3.5,105,"
Action, Crime, Drama            ",R
34,The Last Days of American Crime,2020,3.8,148,"
Action, Crime, Drama            ",TV-MA
35,211,2018,4.4,86,"
Action, Drama, Thriller            ",R
36,Catch That Kid,2004,5.2,91,"
Action, Adventure, Comedy            ",PG
37,Bandits,2001,6.5,123,"
Comedy, Crime, Drama            ",PG-13
38,Bandidas,2006,5.7,93,"
Action, Comedy, Crime            ",PG-13
39,Vault,I) (2019,5.5,99,"
Action, Crime, Drama            ",R
40,Nine Queens,2000,7.9,114,"
Crime, Drama, Thriller            ",R
41,Bloody Hell,2020,6.6,93,"
Action, Comedy, Horror            ",R
42,Mad Money,2008,5.8,104,"
Comedy, Crime, Thriller            ",PG-13
43,The Heist of the Century,2020,7.1,114,"
Action, Biography, Comedy            ",N/A
44,The Lookout,2007,7,99,"
Crime, Drama, Thriller            ",R
45,The Hot Rock,1972,6.8,101,"
Action, Comedy, Crime            ",PG
46,Infamous,2020,4.3,100,"
Crime, Drama, Romance            ",Not Rated
47,Straight Time,1978,7.4,114,"
Crime, Drama            ",R
48,Mesrine: Killer Instinct,2008,7.5,113,"
Action, Biography, Crime            ",R
49,New Police Story,2004,6.9,123,"
Action, Crime, Thriller            ",R
50,Henry's Crime,2010,5.9,108,"
Comedy, Crime, Drama            ",R
1,Love Actually,2003,7.6,135,"
Comedy, Drama, Romance            ",R
2,About Time,I) (2013,7.8,123,"
Comedy, Drama, Fantasy            ",R
3,Enchanted,2007,7.1,107,"
Animation, Adventure, Comedy            ",PG
4,10 Things I Hate About You,1999,7.3,97,"
Comedy, Drama, Romance            ",PG-13
5,Pretty Woman,1990,7.1,119,"
Comedy, Romance            ",R
6,The Devil Wears Prada,2006,6.9,109,"
Comedy, Drama            ",PG-13
7,The Notebook,2004,7.8,123,"
Drama, Romance            ",PG-13
8,Pitch Perfect,2012,7.1,112,"
Comedy, Music, Romance            ",PG-13
9,Legally Blonde,2001,6.4,96,"
Comedy, Romance            ",PG-13
10,How to Lose a Guy in 10 Days,2003,6.4,116,"
Comedy, Romance            ",PG-13
11,"Crazy, Stupid, Love.",2011,7.4,118,"
Comedy, Drama, Romance            ",PG-13
12,Crazy Rich Asians,2018,6.9,120,"
Comedy, Drama, Romance            ",PG-13
13,The Princess Diaries,2001,6.4,115,"
Comedy, Family, Romance            ",G
14,Bridesmaids,I) (2011,6.8,125,"
Comedy, Romance            ",R
15,Ghost,1990,7.1,127,"
Drama, Fantasy, Romance            ",PG-13
16,Four Weddings and a Funeral,1994,7.1,117,"
Comedy, Drama, Romance            ",R
17,Never Been Kissed,1999,6,107,"
Comedy, Drama, Romance            ",PG-13
18,Father of the Bride,1991,6.5,105,"
Comedy, Family, Romance            ",PG
19,Sweet Home Alabama,2002,6.2,108,"
Comedy, Romance            ",PG-13
20,Bridget Jones's Diary,2001,6.8,97,"
Comedy, Drama, Romance            ",R
21,She's All That,1999,5.9,95,"
Comedy, Romance            ",PG-13
22,13 Going on 30,2004,6.2,98,"
Comedy, Fantasy, Romance            ",PG-13
23,Sleepless in Seattle,1993,6.8,105,"
Comedy, Drama, Romance            ",PG
24,He's Just Not That Into You,2009,6.4,129,"
Comedy, Drama, Romance            ",PG-13
25,I Want You Back,2022,6.6,116,"
Comedy, Romance            ",R
26,50 First Dates,2004,6.8,99,"
Comedy, Drama, Romance            ",PG-13
27,You've Got Mail,1998,6.7,119,"
Comedy, Drama, Romance            ",PG
28,Steel Magnolias,1989,7.3,117,"
Comedy, Drama, Romance            ",PG
29,Moonstruck,1987,7.1,102,"
Comedy, Drama, Romance            ",PG
30,Maid in Manhattan,2002,5.3,105,"
Comedy, Drama, Romance            ",PG-13
31,Miss Congeniality,2000,6.3,109,"
Action, Comedy, Crime            ",PG-13
32,Serendipity,2001,6.8,90,"
Comedy, Romance            ",PG-13
33,The Wedding Singer,1998,6.9,97,"
Comedy, Music, Romance            ",PG-13
34,My Big Fat Greek Wedding,2002,6.6,95,"
Comedy, Drama, Romance            ",PG
35,A Walk to Remember,2002,7.3,101,"
Drama, Romance            ",PG
36,Sex and the City,2008,5.7,145,"
Comedy, Drama, Romance            ",R
37,Last Holiday,2006,6.5,112,"
Comedy, Romance            ",PG-13
38,A Perfect Pairing,2022,6.1,101,"
Comedy, Romance            ",TV-14
39,Splash,1984,6.3,111,"
Comedy, Fantasy, Romance            ",PG
40,Fried Green Tomatoes,1991,7.7,130,"
Drama            ",PG-13
41,My Best Friend's Wedding,1997,6.3,105,"
Comedy, Drama, Romance            ",PG-13
42,Valentine's Day,I) (2010,5.7,125,"
Comedy, Romance            ",PG-13
43,P.S. I Love You,2007,7,126,"
Comedy, Drama, Romance            ",PG-13
44,27 Dresses,2008,6.1,111,"
Comedy, Romance            ",PG-13
45,How to Be Single,2016,6.1,110,"
Comedy, Drama, Romance            ",R
46,Something Borrowed,2011,5.8,112,"
Comedy, Drama, Romance            ",PG-13
47,Stepmom,1998,6.8,125,"
Comedy, Drama            ",PG-13
48,Julie & Julia,2009,7,123,"
Biography, Drama, Romance            ",PG-13
49,Made of Honor,2008,5.8,101,"
Comedy, Romance            ",PG-13
50,Bride Wars,2009,5.4,89,"
Comedy, Romance            ",PG
1,Knives Out,2019,7.9,130,"
Comedy, Crime, Drama            ",PG-13
2,Barbarian,2022,7,102,"
Horror, Mystery, Thriller            ",R
3,The Shawshank Redemption,1994,9.3,142,"
Drama            ",R
4,Where the Crawdads Sing,2022,7.1,125,"
Drama, Mystery, Thriller            ",PG-13
5,Interstellar,2014,8.6,169,"
Adventure, Drama, Sci-Fi            ",PG-13
6,Pulp Fiction,1994,8.9,154,"
Crime, Drama            ",R
7,Fight Club,1999,8.8,139,"
Drama            ",R
8,Puss in Boots,2011,6.6,90,"
Animation, Adventure, Comedy            ",PG
9,Parasite,2019,8.5,132,"
Drama, Thriller            ",R
10,Drishyam 2,2022,8.4,140,"
Crime, Drama, Mystery            ",N/A
11,The Prestige,2006,8.5,130,"
Drama, Mystery, Sci-Fi            ",PG-13
12,Shutter Island,2010,8.2,138,"
Mystery, Thriller            ",R
13,Harry Potter and the Prisoner of Azkaban,2004,7.9,142,"
Adventure, Family, Fantasy            ",PG
14,Last Night in Soho,2021,7.1,116,"
Drama, Horror, Mystery            ",R
15,Primal Fear,1996,7.7,129,"
Crime, Drama, Mystery            ",R
16,The Dark Knight Rises,2012,8.4,164,"
Action, Drama            ",PG-13
17,Do Revenge,2022,6.3,118,"
Comedy            ",TV-MA
18,The Usual Suspects,1995,8.5,106,"
Crime, Drama, Mystery            ",R
19,Mulholland Drive,2001,7.9,147,"
Drama, Mystery, Thriller            ",R
20,Memory,2022,5.7,114,"
Action, Crime, Thriller            ",R
21,The Shining,1980,8.4,146,"
Drama, Horror            ",R
22,Reservoir Dogs,1992,8.3,99,"
Crime, Thriller            ",R
23,The Handmaiden,2016,8.1,145,"
Drama, Romance, Thriller            ",Not Rated
24,Casino Royale,2006,8,144,"
Action, Adventure, Thriller            ",PG-13
25,Planet of the Apes,1968,8,112,"
Adventure, Sci-Fi            ",G
26,Coco,I) (2017,8.4,105,"
Animation, Adventure, Comedy            ",PG
27,Fantasy Island,2020,4.9,109,"
Fantasy, Horror, Mystery            ",PG-13
28,Hidden,I) (2015,6.4,84,"
Horror, Sci-Fi, Thriller            ",R
29,The Babysitter: Killer Queen,2020,5.8,101,"
Comedy, Horror            ",TV-MA
30,Orphan: First Kill,2022,5.9,99,"
Crime, Drama, Horror            ",R
31,The Voyeurs,2021,6,116,"
Drama, Mystery, Thriller            ",R
32,From Dusk Till Dawn,1996,7.2,108,"
Action, Crime, Horror            ",R
33,The Sixth Sense,1999,8.2,107,"
Drama, Mystery, Thriller            ",PG-13
34,Suspiria,I) (2018,6.7,152,"
Drama, Fantasy, Horror            ",R
35,Anna,II) (2019,6.6,118,"
Action, Thriller            ",R
36,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,"
Action, Adventure, Fantasy            ",PG
37,Martyrs,2008,7,99,"
Horror            ",R
38,Psycho,1960,8.5,109,"
Horror, Mystery, Thriller            ",R
39,Predestination,I) (2014,7.4,97,"
Action, Drama, Sci-Fi            ",R
40,Your Name.,2016,8.4,106,"
Animation, Drama, Fantasy            ",PG
41,Burnt,I) (2015,6.6,101,"
Comedy, Drama            ",R
42,Orphan,2009,7,123,"
Horror, Mystery, Thriller            ",R
43,Game Night,I) (2018,6.9,100,"
Action, Adventure, Comedy            ",R
44,Vanilla Sky,2001,6.9,136,"
Fantasy, Mystery, Romance            ",R
45,The Others,2001,7.6,104,"
Horror, Mystery, Thriller            ",PG-13
46,3 Idiots,2009,8.4,170,"
Comedy, Drama            ",PG-13
47,Saw,2004,7.6,103,"
Horror, Mystery, Thriller            ",R
48,Glass,2019,6.6,129,"
Drama, Horror, Sci-Fi            ",PG-13
49,Inheritance,I) (2020,5.5,111,"
Drama, Mystery, Thriller            ",TV-MA
50,Chinatown,1974,8.2,130,"
Drama, Mystery, Thriller            ",R
1,Avengers: Endgame,2019,8.4,181,"
Action, Adventure, Drama            ",PG-13
2,The Dark Knight,2008,9,152,"
Action, Crime, Drama            ",PG-13
3,Inception,2010,8.8,148,"
Action, Adventure, Sci-Fi            ",PG-13
4,The Bad Guys,2022,6.8,100,"
Animation, Adventure, Comedy            ",PG
5,GoodFellas,1990,8.7,145,"
Biography, Crime, Drama            ",R
6,Heat,1995,8.3,170,"
Action, Crime, Drama            ",R
7,Die Hard,1988,8.2,132,"
Action, Thriller            ",R
8,Suicide Squad,2016,5.9,123,"
Action, Adventure, Fantasy            ",PG-13
9,National Treasure,2004,6.9,131,"
Action, Adventure, Mystery            ",PG
10,Drive,I) (2011,7.8,100,"
Action, Drama            ",R
11,Wrath of Man,2021,7.1,119,"
Action, Crime, Thriller            ",R
12,The Town,2010,7.5,125,"
Crime, Drama, Thriller            ",R
13,The Dark Knight Rises,2012,8.4,164,"
Action, Drama            ",PG-13
14,The Usual Suspects,1995,8.5,106,"
Crime, Drama, Mystery            ",R
15,Red Notice,2021,6.3,118,"
Action, Comedy, Thriller            ",PG-13
16,Reservoir Dogs,1992,8.3,99,"
Crime, Thriller            ",R
17,Snatch,2000,8.2,102,"
Comedy, Crime            ",R
18,Baby Driver,2017,7.6,113,"
Action, Crime, Drama            ",R
19,Ocean's Eleven,2001,7.7,116,"
Crime, Thriller            ",PG-13
20,Mission: Impossible,1996,7.1,110,"
Action, Adventure, Thriller            ",PG-13
21,Once Upon a Time in America,1984,8.3,229,"
Crime, Drama            ",R
22,Ocean's Eight,2018,6.3,110,"
Action, Comedy, Crime            ",PG-13
23,The Fast and the Furious,2001,6.8,106,"
Action, Crime, Thriller            ",PG-13
24,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.5,129,"
Action, Adventure, Fantasy            ",PG-13
25,Cliffhanger,1993,6.5,113,"
Action, Adventure, Thriller            ",R
26,The Vault,2021,6.4,118,"
Action, Adventure, Thriller            ",R
27,Widows,2018,6.8,129,"
Crime, Drama, Thriller            ",R
28,Army of Thieves,2021,6.4,127,"
Action, Comedy, Crime            ",TV-MA
29,Casino,1995,8.2,178,"
Crime, Drama            ",R
30,The Sting,1973,8.3,129,"
Comedy, Crime, Drama            ",PG
31,Bandit,2022,6.4,126,"
Crime, Drama, Thriller            ",R
32,Army of the Dead,2021,5.7,148,"
Action, Crime, Drama            ",R
33,Bastille Day,2016,6.3,92,"
Action, Crime, Drama            ",R
34,Hell or High Water,II) (2016,7.6,102,"
Crime, Drama, Thriller            ",R
35,The Shape of Water,2017,7.3,123,"
Drama, Fantasy, Romance            ",R
36,Mission: Impossible III,2006,6.9,126,"
Action, Adventure, Thriller            ",PG-13
37,Road to Perdition,2002,7.7,117,"
Crime, Drama, Thriller            ",R
38,Solo: A Star Wars Story,2018,6.9,135,"
Action, Adventure, Sci-Fi            ",PG-13
39,Die Hard with a Vengeance,1995,7.6,128,"
Action, Adventure, Thriller            ",R
40,"Lock, Stock and Two Smoking Barrels",1998,8.2,107,"
Action, Comedy, Crime            ",R
41,Den of Thieves,2018,7,140,"
Action, Crime, Drama            ",R
42,Layer Cake,2004,7.3,105,"
Action, Crime, Drama            ",R
43,Now You See Me,I) (2013,7.2,115,"
Crime, Mystery, Thriller            ",PG-13
44,Ant-Man,2015,7.3,117,"
Action, Adventure, Comedy            ",PG-13
45,The Place Beyond the Pines,2012,7.3,140,"
Crime, Drama, Thriller            ",R
46,Logan Lucky,2017,7,118,"
Action, Comedy, Crime            ",PG-13
47,Bad Boys,1995,6.8,119,"
Action, Comedy, Crime            ",R
48,Inside Man,2006,7.6,129,"
Crime, Drama, Mystery            ",R
49,The Duke,2020,6.9,95,"
Biography, Comedy, Crime            ",R
50,Batman & Robin,1997,3.7,125,"
Action, Sci-Fi            ",PG-13
1,The Batman,2022,7.8,176,"
Action, Crime, Drama            ",PG-13
2,No Time to Die,2021,7.3,163,"
Action, Adventure, Thriller            ",PG-13
3,Emily the Criminal,2022,6.7,97,"
Crime, Drama, Thriller            ",R
4,Home Alone,1990,7.7,103,"
Comedy, Family            ",PG
5,Pulp Fiction,1994,8.9,154,"
Crime, Drama            ",R
6,The Gentlemen,2019,7.8,113,"
Action, Comedy, Crime            ",R
7,The Dark Knight,2008,9,152,"
Action, Crime, Drama            ",PG-13
8,Puss in Boots,2011,6.6,90,"
Animation, Adventure, Comedy            ",PG
9,The Bad Guys,2022,6.8,100,"
Animation, Adventure, Comedy            ",PG
10,GoodFellas,1990,8.7,145,"
Biography, Crime, Drama            ",R
11,Heat,1995,8.3,170,"
Action, Crime, Drama            ",R
12,Die Hard,1988,8.2,132,"
Action, Thriller            ",R
13,The Man from U.N.C.L.E.,2015,7.2,116,"
Action, Adventure, Comedy            ",PG-13
14,Fast Times at Ridgemont High,1982,7.1,90,"
Comedy, Drama            ",R
15,Don't Look Up,2021,7.2,138,"
Comedy, Drama, Sci-Fi            ",R
16,Murder on the Orient Express,2017,6.5,114,"
Crime, Drama, Mystery            ",PG-13
17,Gone Girl,2014,8.1,149,"
Drama, Mystery, Thriller            ",R
18,Strange Days,1995,7.2,145,"
Crime, Drama, Sci-Fi            ",R
19,Ambulance,2022,6.1,136,"
Action, Crime, Drama            ",R
20,Django Unchained,2012,8.4,165,"
Drama, Western            ",R
21,Suicide Squad,2016,5.9,123,"
Action, Adventure, Fantasy            ",PG-13
22,The Departed,2006,8.5,151,"
Crime, Drama, Thriller            ",R
23,Black Panther,2018,7.3,134,"
Action, Adventure, Sci-Fi            ",PG-13
24,Dazed and Confused,1993,7.6,103,"
Comedy            ",R
25,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,146,"
Adventure, Family, Fantasy            ",PG-13
26,Drive,I) (2011,7.8,100,"
Action, Drama            ",R
27,Home Alone 2: Lost in New York,1992,6.8,120,"
Adventure, Comedy, Crime            ",PG
28,Taxi Driver,1976,8.2,114,"
Crime, Drama            ",R
29,Star Wars: Episode VII - The Force Awakens,2015,7.8,138,"
Action, Adventure, Sci-Fi            ",PG-13
30,Kick-Ass,2010,7.6,117,"
Action, Comedy, Crime            ",R
31,The Dark Knight Rises,2012,8.4,164,"
Action, Drama            ",PG-13
32,Nocturnal Animals,2016,7.5,116,"
Drama, Thriller            ",R
33,The Usual Suspects,1995,8.5,106,"
Crime, Drama, Mystery            ",R
34,"The Good, the Bad and the Ugly",1966,8.8,178,"
Adventure, Western            ",Approved
35,Red Notice,2021,6.3,118,"
Action, Comedy, Thriller            ",PG-13
36,Memory,2022,5.7,114,"
Action, Crime, Thriller            ",R
37,A Clockwork Orange,1971,8.3,136,"
Crime, Sci-Fi            ",R
38,Spider-Man,2002,7.4,121,"
Action, Adventure, Sci-Fi            ",PG-13
39,Batman Begins,2005,8.2,140,"
Action, Crime, Drama            ",PG-13
40,Reservoir Dogs,1992,8.3,99,"
Crime, Thriller            ",R
41,Guardians of the Galaxy Vol. 2,2017,7.6,136,"
Action, Adventure, Comedy            ",PG-13
42,Snatch,2000,8.2,102,"
Comedy, Crime            ",R
43,Baby Driver,2017,7.6,113,"
Action, Crime, Drama            ",R
44,Wonder Woman 1984,2020,5.4,151,"
Action, Adventure, Fantasy            ",PG-13
45,Ocean's Eleven,2001,7.7,116,"
Crime, Thriller            ",PG-13
46,Shazam!,2019,7,132,"
Action, Adventure, Comedy            ",PG-13
47,City of God,2002,8.6,130,"
Crime, Drama            ",R
48,Fantastic Beasts and Where to Find Them,2016,7.2,132,"
Adventure, Family, Fantasy            ",PG-13
49,Superbad,2007,7.6,113,"
Comedy            ",R
50,Once Upon a Time in America,1984,8.3,229,"
Crime, Drama            ",R
1,Bullet Train,2022,7.3,127,"
Action, Comedy, Thriller            ",R
2,Roald Dahl's Matilda the Musical,2022,7.2,117,"
Comedy, Drama, Family            ",PG
3,Oppenheimer,2023,N/A,N/A,"
Biography, Drama, History            ",N/A
4,All Quiet on the Western Front,2022,7.8,148,"
Action, Drama, War            ",R
5,Matilda,1996,7,102,"
Comedy, Family, Fantasy            ",PG
6,Killers of the Flower Moon,,N/A,N/A,"
Crime, Drama, History            ",N/A
7,Dune,2021,8,155,"
Action, Adventure, Drama            ",PG-13
8,She Said,2022,7.2,129,"
Drama, History            ",R
9,Lady Chatterley's Lover,2022,6.6,126,"
Drama, Romance            ",R
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178,"
Action, Adventure, Drama            ",PG-13
11,The Wolf of Wall Street,2013,8.2,180,"
Biography, Comedy, Crime            ",R
12,Fight Club,1999,8.8,139,"
Drama            ",R
13,The Good Nurse,2022,6.8,121,"
Biography, Crime, Drama            ",R
14,The Bad Guys,2022,6.8,100,"
Animation, Adventure, Comedy            ",PG
15,GoodFellas,1990,8.7,145,"
Biography, Crime, Drama            ",R
16,Forrest Gump,1994,8.8,142,"
Drama, Romance            ",PG-13
17,Die Hard,1988,8.2,132,"
Action, Thriller            ",R
18,Pinocchio,2022,5.1,105,"
Adventure, Comedy, Drama            ",PG
19,Fast Times at Ridgemont High,1982,7.1,90,"
Comedy, Drama            ",R
20,Dune: Part Two,2023,N/A,N/A,"
Action, Adventure, Drama            ",N/A
21,The Lord of the Rings: The Return of the King,2003,9,201,"
Action, Adventure, Drama            ",PG-13
22,Requiem for a Dream,2000,8.3,102,"
Drama            ",R
23,Schindler's List,1993,9,195,"
Biography, Drama, History            ",R
24,Operation Mincemeat,2021,6.6,128,"
Drama, War            ",PG-13
25,"Lyle, Lyle, Crocodile",2022,6.1,106,"
Animation, Adventure, Comedy            ",PG
26,House of Gucci,2021,6.6,158,"
Biography, Crime, Drama            ",R
27,Drive,I) (2011,7.8,100,"
Action, Drama            ",R
28,The Lord of the Rings: The Two Towers,2002,8.8,179,"
Action, Adventure, Drama            ",PG-13
29,The Silence of the Lambs,1991,8.6,118,"
Crime, Drama, Thriller            ",R
30,After We Collided,2020,5,105,"
Drama, Romance            ",R
31,The Green Mile,1999,8.6,189,"
Crime, Drama, Fantasy            ",R
32,Troy,2004,7.3,163,"
Drama            ",R
33,Jumanji: Welcome to the Jungle,2017,6.9,119,"
Action, Adventure, Comedy            ",PG-13
34,The Irishman,2019,7.8,209,"
Biography, Crime, Drama            ",R
