TV Rank,TV Name,Year of Release,IMDB Rating,Runtime,Genre,Rated
40,Abbott Elementary,2021- ,8.2,22,"
Comedy            ",TV-PG
41,Community,2009-2015,8.5,22,"
Comedy            ",TV-14
42,Sex Education,2019- ,8.3,45,"
Comedy, Drama            ",TV-MA
43,Detectorists,2014-2022,8.6,30,"
Comedy            ",TV-14
44,One Piece,1999- ,8.9,24,"
Animation, Action, Adventure            ",TV-14
45,Parks and Recreation,2009-2015,8.6,22,"
Comedy            ",TV-14
46,Cobra Kai,2018- ,8.5,30,"
Action, Comedy, Drama            ",TV-14
47,The Best Man: The Final Chapters,2022,8.3,30,"
Comedy, Drama            ",TV-MA
48,Castle,2009-2016,8.1,43,"
Comedy, Crime, Drama            ",TV-14
49,South Park,1997- ,8.7,22,"
Animation, Comedy            ",TV-14
50,Two and a Half Men,2003-2015,7.1,22,"
Comedy, Romance            ",TV-14
1,Kaleidoscope,2023,6.8,373,"
Action, Crime, Drama            ",TV-MA
2,Wednesday,2022- ,8.2,45,"
Comedy, Crime, Fantasy            ",TV-14
3,Tulsa King,2022- ,8.3,40,"
Crime, Drama            ",TV-MA
4,The Recruit,2022- ,7.5,55,"
Action, Adventure, Crime            ",TV-MA
5,Will Trent,2023- ,7.8,44,"
Crime, Drama            ",TV-14
6,Happy Valley,2014-2023,8.5,58,"
Crime, Drama, Thriller            ",TV-MA
7,Breaking Bad,2008-2013,9.5,49,"
Crime, Drama, Thriller            ",TV-MA
8,Criminal Minds,2005- ,8.1,42,"
Crime, Drama, Mystery            ",TV-14
9,Better Call Saul,2015-2022,8.9,46,"
Crime, Drama            ",TV-MA
10,Black Snow,2023- ,7.3,52,"
Crime, Drama, Mystery            ",N/A
11,The Boys,2019- ,8.7,60,"
Action, Comedy, Crime            ",TV-MA
12,Hunters,2020-2023,7.2,60,"
Crime, Drama, Mystery            ",TV-MA
13,Three Pines,2022- ,7.3,54,"
Crime, Drama, Mystery            ",TV-14
14,The Sopranos,1999-2007,9.2,55,"
Crime, Drama            ",TV-MA
15,Peaky Blinders,2013-2022,8.8,60,"
Crime, Drama            ",TV-MA
16,Law & Order: Special Victims Unit,1999- ,8.1,60,"
Crime, Drama, Mystery            ",TV-14
17,Mayor of Kingstown,2021- ,8.2,N/A,"
Crime, Drama, Thriller            ",TV-MA
18,Las Vegas,2003-2008,7.4,60,"
Crime, Drama            ",TV-14
19,The Rookie,2018- ,8,43,"
Action, Crime, Drama            ",TV-14
20,NCIS,2003- ,7.8,60,"
Action, Crime, Drama            ",TV-14
21,Bones,2005-2017,7.8,40,"
Comedy, Crime, Drama            ",TV-14
22,Midsomer Murders,1997- ,7.9,90,"
Crime, Drama, Mystery            ",TV-14
23,Reacher,2022- ,8.1,49,"
Action, Crime, Drama            ",TV-MA
24,True Detective,2014-2019,8.9,55,"
Crime, Drama, Mystery            ",TV-MA
25,The Blacklist,2013- ,8,43,"
Crime, Drama, Mystery            ",TV-14
26,Copenhagen Cowboy,2022-2023,6.8,312,"
Crime, Drama, Thriller            ",TV-MA
27,Dark,2017-2020,8.7,60,"
Crime, Drama, Mystery            ",TV-MA
28,Big Sky,2020- ,6.8,60,"
Crime, Drama, Mystery            ",TV-14
29,Death in Paradise,2011- ,7.8,60,"
Comedy, Crime, Drama            ",TV-PG
30,You,2018- ,7.7,45,"
Crime, Drama, Romance            ",TV-MA
31,Dead to Me,2019-2022,8,30,"
Comedy, Crime, Drama            ",TV-MA
32,The Wire,2002-2008,9.3,59,"
Crime, Drama, Thriller            ",TV-MA
33,Your Honor,II) (2020-2023,7.6,57,"
Crime, Drama, Thriller            ",TV-MA
34,Outer Banks,2020- ,7.6,50,"
Action, Crime, Drama            ",TV-MA
35,Brooklyn Nine-Nine,2013-2021,8.4,22,"
Comedy, Crime            ",TV-14
36,Ozark,2017-2022,8.5,60,"
Crime, Drama, Thriller            ",TV-MA
37,C.B. Strike,2017- ,7.9,60,"
Crime, Drama, Mystery            ",TV-MA
38,Only Murders in the Building,2021- ,8.1,30,"
Comedy, Crime, Drama            ",TV-MA
39,Lucifer,2016-2021,8.1,42,"
Crime, Drama, Fantasy            ",TV-14
40,Law & Order,1990- ,7.8,45,"
Crime, Drama, Mystery            ",TV-14
41,Black Bird,2022,8.1,347,"
Biography, Crime, Drama            ",TV-MA
42,The Sinner,2017-2021,7.9,45,"
Crime, Drama, Mystery            ",TV-MA
43,Columbo,1971-2003,8.3,100,"
Crime, Drama, Mystery            ",TV-PG
44,The X-Files,1993-2018,8.6,45,"
Crime, Drama, Mystery            ",TV-14
45,Without Sin,2022,6.9,46,"
Crime, Drama, Thriller            ",N/A
46,Titans,I) (2018- ,7.6,45,"
Action, Adventure, Crime            ",TV-MA
47,Fargo,2014- ,8.9,53,"
Crime, Drama, Thriller            ",TV-MA
48,Blue Bloods,2010- ,7.7,43,"
Crime, Drama, Mystery            ",TV-14
49,FBI,2018- ,7,60,"
Action, Crime, Drama            ",TV-14
50,Sons of Anarchy,2008-2014,8.6,45,"
Crime, Drama, Thriller            ",TV-MA
1,Rise of Empires: Ottoman,2020-2022,7.9,44,"
Documentary, Drama, History            ",TV-MA
2,Madoff: The Monster of Wall Street,2023,7.4,249,"
Documentary, Crime            ",TV-MA
3,Paul T. Goldman,2023,6.7,34,"
Documentary, Comedy, Drama            ",N/A
4,Harry & Meghan,2022,4.8,58,"
Documentary            ",TV-MA
5,The Rehearsal,2022- ,8.6,30,"
Documentary, Comedy            ",TV-MA
6,Limitless,2022- ,8.1,50,"
Documentary, Adventure            ",TV-14
7,Welcome to Wrexham,2022- ,8.3,28,"
Documentary, Sport            ",TV-MA
8,Aranybulla,2022- ,1.1,N/A,"
Documentary, Drama, History            ",N/A
9,Planet Earth II,2016,9.5,298,"
Documentary            ",TV-G
10,The Curse of Oak Island,2014- ,6.9,60,"
Documentary, Reality-TV            ",TV-PG
11,Live to Lead,2022- ,4.3,30,"
Documentary            ",TV-MA
12,Don't Pick Up the Phone,2022,6.7,143,"
Documentary, Crime            ",TV-MA
13,Nathan for You,2013-2017,8.9,30,"
Documentary, Comedy            ",TV-14
14,Clarkson's Farm,2021- ,9,45,"
Documentary, Comedy, Reality-TV            ",TV-PG
15,Cunk on Earth,2022- ,8.4,29,"
Documentary, Comedy            ",N/A
16,Ancient Apocalypse,2022- ,7.4,30,"
Documentary, History            ",TV-MA
17,The Last Dance,2020,9.1,491,"
Documentary, Biography, History            ",TV-MA
18,Death in the Dorms,2023,6.8,N/A,"
Documentary, Crime            ",N/A
19,Hillsong: A Megachurch Exposed,2022,6.6,178,"
Documentary            ",TV-14
20,Roman Empire,2016-2019,7,48,"
Documentary, Biography, Drama            ",TV-MA
21,"Pepsi, Where's My Jet?",2022,7,157,"
Documentary, History            ",TV-MA
22,I Am a Killer,2018-2022,7.4,52,"
Documentary, Crime            ",TV-MA
23,Alone,2015- ,8.4,44,"
Documentary, Game-Show, Reality-TV            ",TV-14
24,Sometimes When We Touch,2023,7.8,N/A,"
Documentary, History, Music            ",TV-MA
25,"Blood, Sex & Royalty",2022- ,5.9,44,"
Documentary, Biography, Drama            ",TV-MA
26,Air Crash Investigation,2003- ,8.8,46,"
Documentary, Crime, Drama            ",TV-14
27,Last Chance U: Basketball,2021- ,8.3,60,"
Documentary, Sport            ",TV-MA
28,Unsolved Mysteries,2020- ,7.3,45,"
Documentary, Crime, Mystery            ",TV-MA
29,Formula 1: Drive to Survive,2019- ,8.6,40,"
Documentary, Sport            ",TV-MA
30,Cosmos: A Spacetime Odyssey,2014,9.3,557,"
Documentary            ",TV-PG
31,The Beatles: Get Back,2021,9,468,"
Documentary, Biography, Music            ",PG-13
32,Ancient Aliens,2009- ,7.1,42,"
Documentary, Fantasy, History            ",TV-PG
33,Ghost Adventures,2008- ,7.3,45,"
Documentary, History, Reality-TV            ",TV-PG
34,The Vow,2020-2022,7.1,60,"
Documentary, Crime            ",TV-MA
35,Secrets of Playboy,2022,6.8,504,"
Documentary            ",TV-14
36,Aftershock: Everest and the Nepal Earthquake,2022,7.3,149,"
Documentary            ",TV-MA
37,The World at War,1973-1974,9.2,52,"
Documentary, History, War            ",TV-PG
38,Lucky!,2022- ,8.6,60,"
Documentary            ",N/A
39,"Finding Your Roots with Henry Louis Gates, Jr.",2012- ,8.6,53,"
Documentary, Biography, History            ",TV-PG
40,Boys in Blue,2023,7.3,N/A,"
Documentary, Sport            ",TV-MA
41,Planet Earth,2006,9.4,538,"
Documentary            ",TV-PG
42,Old Enough!,1990- ,8.2,N/A,"
Documentary            ",N/A
43,Vatican Girl: The Disappearance of Emanuela Orlandi,2022,7.1,233,"
Documentary, Crime, History            ",TV-14
44,The Vietnam War,2017,9.1,990,"
Documentary, History, War            ",TV-MA
45,Dateline NBC,1992- ,7.1,60,"
Documentary, News            ",TV-PG
46,House of Grucci,2023,7.7,N/A,"
Documentary            ",Not Rated
47,Travel Man: 48 Hours in...,2015- ,8.2,24,"
Documentary, Adventure, Comedy            ",Not Rated
48,Casey Anthony: Where the Truth Lies,2022,3.6,211,"
Documentary, Crime            ",TV-MA
49,The Witcher Bestiary,2021-2022,6.7,N/A,"
Documentary            ",TV-MA
50,How to with John Wilson,2020- ,8.7,30,"
Documentary, Comedy            ",TV-MA
1,Kaleidoscope,2023,6.8,373,"
Action, Crime, Drama            ",TV-MA
2,Yellowstone,2018- ,8.7,60,"
Drama, Western            ",TV-MA
3,The White Lotus,2021-2023,7.9,60,"
Comedy, Drama            ",TV-MA
4,1923,2022-2023,8.6,60,"
Drama, Western            ",TV-MA
5,Jack Ryan,2018- ,8,60,"
Action, Drama, Thriller            ",TV-MA
6,Tulsa King,2022- ,8.3,40,"
Crime, Drama            ",TV-MA
7,Treason,2022,6.3,207,"
Action, Drama, Thriller            ",TV-MA
8,The Witcher: Blood Origin,2022,4.5,50,"
Action, Adventure, Drama            ",TV-MA
9,Alice in Borderland,2020- ,7.7,50,"
Action, Drama, Mystery            ",TV-MA
10,The Recruit,2022- ,7.5,55,"
Action, Adventure, Crime            ",TV-MA
11,Willow,2022- ,5.4,N/A,"
Action, Adventure, Drama            ",TV-14
12,The Last of Us,2023- ,9.6,N/A,"
Action, Adventure, Drama            ",TV-MA
13,Ginny & Georgia,2021- ,7.4,N/A,"
Comedy, Drama            ",TV-14
14,1883,2021-2022,8.8,60,"
Drama, Western            ",TV-MA
15,The Walking Dead,2010-2022,8.1,44,"
Drama, Horror, Thriller            ",TV-MA
16,Game of Thrones,2011-2019,9.2,57,"
Action, Adventure, Drama            ",TV-MA
17,Emily in Paris,2020- ,6.9,30,"
Comedy, Drama, Romance            ",TV-MA
18,Slow Horses,2022- ,7.9,N/A,"
Drama, Thriller            ",TV-MA
19,His Dark Materials,2019-2022,7.8,60,"
Adventure, Drama, Family            ",TV-14
20,Will Trent,2023- ,7.8,44,"
Crime, Drama            ",TV-14
21,Andor,2022- ,8.4,40,"
Action, Adventure, Drama            ",TV-14
22,Mayfair Witches,2023- ,6.7,60,"
Drama, Fantasy, Horror            ",TV-MA
23,1899,2022,7.4,60,"
Drama, Mystery            ",TV-MA
24,Happy Valley,2014-2023,8.5,58,"
Crime, Drama, Thriller            ",TV-MA
25,Breaking Bad,2008-2013,9.5,49,"
Crime, Drama, Thriller            ",TV-MA
26,Stranger Things,2016- ,8.7,51,"
Drama, Fantasy, Horror            ",TV-14
27,House of the Dragon,2022- ,8.5,N/A,"
Action, Adventure, Drama            ",TV-MA
28,The Crown,2016-2023,8.7,58,"
Biography, Drama, History            ",TV-MA
29,Criminal Minds,2005- ,8.1,42,"
Crime, Drama, Mystery            ",TV-14
30,Severance,2022- ,8.7,55,"
Drama, Mystery, Sci-Fi            ",TV-MA
31,Better Call Saul,2015-2022,8.9,46,"
Crime, Drama            ",TV-MA
32,Black Snow,2023- ,7.3,52,"
Crime, Drama, Mystery            ",N/A
33,Lady Voyeur,2023,4.7,378,"
Drama, Mystery, Thriller            ",TV-MA
34,The Rig,2022- ,5.9,51,"
Drama, Mystery, Thriller            ",13+
35,The Witcher,2019- ,8.1,60,"
Action, Adventure, Drama            ",TV-MA
36,The Boys,2019- ,8.7,60,"
Action, Comedy, Crime            ",TV-MA
37,The Glory,2022- ,8,50,"
Drama, Mystery, Thriller            ",TV-MA
38,Hunters,2020-2023,7.2,60,"
Crime, Drama, Mystery            ",TV-MA
39,The Twilight Zone,1959-1964,9.1,51,"
Drama, Fantasy, Horror            ",TV-PG
40,Three Pines,2022- ,7.3,54,"
Crime, Drama, Mystery            ",TV-14
41,The Sopranos,1999-2007,9.2,55,"
Crime, Drama            ",TV-MA
42,The Peripheral,2022- ,7.7,N/A,"
Drama, Mystery, Sci-Fi            ",TV-MA
43,The West Wing,1999-2006,8.9,44,"
Drama            ",TV-14
44,Grey's Anatomy,2005- ,7.6,41,"
Drama, Romance            ",TV-14
45,Rise of Empires: Ottoman,2020-2022,7.9,44,"
Documentary, Drama, History            ",TV-MA
46,Peaky Blinders,2013-2022,8.8,60,"
Crime, Drama            ",TV-MA
47,Ted Lasso,2020- ,8.8,30,"
Comedy, Drama, Sport            ",TV-MA
48,Law & Order: Special Victims Unit,1999- ,8.1,60,"
Crime, Drama, Mystery            ",TV-14
49,Doctor Who,2005- ,8.6,45,"
Adventure, Drama, Sci-Fi            ",TV-PG
50,The Lord of the Rings: The Rings of Power,2022- ,6.9,N/A,"
Action, Adventure, Drama            ",TV-14
1,His Dark Materials,2019-2022,7.8,60,"
Adventure, Drama, Family            ",TV-14
2,Step by Step,1991-1998,6.5,30,"
Comedy, Family, Romance            ",TV-G
3,Bluey,2018- ,9.6,7,"
Animation, Family            ",TV-Y
4,Avatar: The Last Airbender,2005-2008,9.3,23,"
Animation, Action, Adventure            ",TV-Y7-FV
5,The Addams Family,1964-1966,8,30,"
Comedy, Family, Horror            ",TV-G
6,The Santa Clauses,2022,6.3,33,"
Comedy, Drama, Family            ",TV-PG
7,Heartland,II) (2007- ,8.5,45,"
Drama, Family            ",TV-PG
8,Malcolm in the Middle,2000-2006,8.1,22,"
Comedy, Family            ",TV-PG
9,Boy Meets World,1993-2000,8.1,23,"
Comedy, Drama, Family            ",TV-PG
10,SpongeBob SquarePants,1999- ,8.2,23,"
Animation, Comedy, Family            ",TV-Y7
11,The Nanny,1993-1999,7,22,"
Comedy, Family, Romance            ",TV-PG
12,Home Improvement,1991-1999,7.2,22,"
Comedy, Family            ",TV-PG
13,Little House on the Prairie,1974-1983,7.5,60,"
Drama, Family, Romance            ",TV-PG
14,The Middle,2009-2018,7.6,22,"
Comedy, Family            ",TV-PG
15,Doctor Who,1963-1989,8.4,45,"
Adventure, Drama, Family            ",TV-PG
16,7th Heaven,1996-2007,5.2,60,"
Comedy, Drama, Family            ",TV-G
17,Full House,1987-1995,6.7,22,"
Comedy, Drama, Family            ",TV-G
18,Miraculous: Tales of Ladybug & Cat Noir,2015- ,7.6,20,"
Animation, Action, Adventure            ",TV-Y7
19,The Andy Griffith Show,1960-1968,8.4,30,"
Comedy, Family            ",TV-G
20,Adventure Time,2010-2018,8.6,11,"
Animation, Action, Adventure            ",TV-PG
21,The Owl House,2020-2023,8.4,22,"
Animation, Action, Adventure            ",TV-Y7-FV
22,Anne with an E,2017-2019,8.7,60,"
Drama, Family            ",TV-PG
23,Star Wars: Rebels,2014-2018,8,22,"
Animation, Action, Adventure            ",TV-Y7-FV
24,Gravity Falls,2012-2016,8.9,23,"
Animation, Action, Adventure            ",TV-Y7
25,A Series of Unfortunate Events,2017-2019,7.8,50,"
Adventure, Comedy, Drama            ",TV-PG
26,iCarly,2007-2012,6.7,30,"
Comedy, Family, Romance            ",TV-G
27,Percy Jackson and the Olympians,2023- ,N/A,60,"
Action, Adventure, Family            ",TV-PG
28,Batman: The Animated Series,1992-1995,9,23,"
Animation, Action, Adventure            ",TV-PG
29,Star Trek: Prodigy,2021- ,7.3,24,"
Animation, Action, Adventure            ",TV-Y7
30,Lost in Space,2018-2021,7.3,60,"
Adventure, Drama, Family            ",TV-PG
31,Pokémon,1997- ,7.5,24,"
Animation, Action, Adventure            ",TV-Y7
32,The Legend of Korra,2012-2014,8.4,23,"
Animation, Action, Adventure            ",TV-PG
33,The Waltons,1972-1981,7.6,60,"
Drama, Family, Romance            ",TV-G
34,Family Ties,1982-1989,7.2,30,"
Comedy, Drama, Family            ",TV-G
35,Family Matters,1989-1998,6.6,30,"
Adventure, Comedy, Drama            ",TV-G
36,Ms. Marvel,2022,6.2,271,"
Action, Adventure, Comedy            ",TV-PG
37,Sonic Prime,2022- ,7.3,22,"
Animation, Action, Adventure            ",TV-Y7
38,Out of This World,1987-1991,7.3,30,"
Comedy, Family            ",N/A
39,Saved by the Bell,1989-1992,7.1,30,"
Comedy, Family, Romance            ",TV-PG
40,Happy Days,1974-1984,7.4,30,"
Comedy, Family, Music            ",TV-G
41,Stuck in the Middle,2016-2018,6.2,30,"
Comedy, Family            ",TV-G
42,The Mysterious Benedict Society,2021- ,7.6,N/A,"
Action, Adventure, Comedy            ",TV-PG
43,Sabrina the Teenage Witch,1996-2003,6.7,22,"
Comedy, Family, Fantasy            ",TV-G
44,The Hardy Boys,2020-2023,7,45,"
Adventure, Drama, Family            ",TV-PG
45,Leave It to Beaver,1957-1963,7.6,30,"
Comedy, Family            ",TV-G
46,"Dr. Quinn, Medicine Woman",1993-1998,6.8,60,"
Drama, Family, Western            ",TV-G
47,Bewitched,1964-1972,7.6,25,"
Comedy, Family, Fantasy            ",TV-G
48,The Wonder Years,1988-1993,8.4,22,"
Comedy, Drama, Family            ",TV-PG
49,Girl Meets World,2014-2017,7.1,23,"
Comedy, Drama, Family            ",TV-G
50,Victorious,2010-2013,7,30,"
Comedy, Drama, Family            ",TV-G
1,Wednesday,2022- ,8.2,45,"
Comedy, Crime, Fantasy            ",TV-14
2,The Witcher: Blood Origin,2022,4.5,50,"
Action, Adventure, Drama            ",TV-MA
3,Willow,2022- ,5.4,N/A,"
Action, Adventure, Drama            ",TV-14
4,Game of Thrones,2011-2019,9.2,57,"
Action, Adventure, Drama            ",TV-MA
5,His Dark Materials,2019-2022,7.8,60,"
Adventure, Drama, Family            ",TV-14
6,Mayfair Witches,2023- ,6.7,60,"
Drama, Fantasy, Horror            ",TV-MA
7,Stranger Things,2016- ,8.7,51,"
Drama, Fantasy, Horror            ",TV-14
8,House of the Dragon,2022- ,8.5,N/A,"
Action, Adventure, Drama            ",TV-MA
9,The Witcher,2019- ,8.1,60,"
Action, Adventure, Drama            ",TV-MA
10,The Twilight Zone,1959-1964,9.1,51,"
Drama, Fantasy, Horror            ",TV-PG
11,The Lord of the Rings: The Rings of Power,2022- ,6.9,N/A,"
Action, Adventure, Drama            ",TV-14
12,Supernatural,2005-2020,8.4,44,"
Drama, Fantasy, Horror            ",TV-14
13,Star Wars: The Bad Batch,2021- ,7.8,N/A,"
Animation, Action, Adventure            ",TV-PG
14,Ghosts,2021- ,7.8,N/A,"
Comedy, Fantasy            ",TV-PG
15,The Mandalorian,2019- ,8.7,40,"
Action, Adventure, Fantasy            ",TV-14
16,Chainsaw Man,2022- ,8.6,25,"
Animation, Action, Adventure            ",TV-MA
17,Attack on Titan,2013-2023,9,24,"
Animation, Action, Adventure            ",TV-MA
18,Outlander,2014- ,8.4,60,"
Drama, Fantasy, Romance            ",TV-MA
19,The Sandman,2022- ,7.7,45,"
Drama, Fantasy, Horror            ",TV-MA
20,Lucifer,2016-2021,8.1,42,"
Crime, Drama, Fantasy            ",TV-14
21,Lost,2004-2010,8.3,44,"
Adventure, Drama, Fantasy            ",TV-14
22,Titans,I) (2018- ,7.6,45,"
Action, Adventure, Crime            ",TV-MA
23,True Blood,2008-2014,7.9,55,"
Drama, Fantasy, Mystery            ",TV-MA
24,The Vampire Diaries,2009-2017,7.7,43,"
Drama, Fantasy, Horror            ",TV-14
25,One Piece,1999- ,8.9,24,"
Animation, Action, Adventure            ",TV-14
26,Buffy the Vampire Slayer,1997-2003,8.3,44,"
Action, Drama, Fantasy            ",TV-14
27,Alchemy of Souls,2022- ,8.8,80,"
Action, Drama, Fantasy            ",Approved
28,The Umbrella Academy,2019-2023,7.9,60,"
Action, Adventure, Comedy            ",TV-14
29,My Hero Academia,2016- ,8.4,24,"
Animation, Action, Adventure            ",TV-14
